"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"133","Jake Bobo (SEA)","13","17","107","8.2","15","0","1","0","0","0","0","17","29.7","1.7","0.8%"
"134","Kevin Austin Jr. (NO)","11","22","151","13.7","23","2","0","1","9","0","0","8","27.0","3.4","0.0%"
"135","Bub Means (NO)","9","15","118","13.1","36","1","1","0","0","0","0","7","26.8","3.8","1.0%"
"136","Jamison Crowder (FA)","9","13","72","8.0","12","0","2","0","0","0","1","5","26.2","5.2","1.0%"
"137","Mason Tipton (NO)","14","26","99","7.1","15","0","0","0","0","0","0","11","23.9","2.2","0.7%"
"138","Xavier Hutchinson (HOU)","12","26","117","9.8","19","0","0","0","0","0","0","16","23.7","1.5","0.6%"
"139","Bo Melton (GB)","8","17","91","11.4","28","1","0","8","54","0","0","17","22.5","1.3","1.5%"
"140","Trent Sherfield Sr. (DEN)","8","10","83","10.4","17","0","1","0","0","0","0","15","22.3","1.5","0.1%"
"141","Rakim Jarrett (FA)","9","11","124","13.8","30","2","0","0","0","0","0","10","21.4","2.1","1.9%"
"142","Ashton Dulin (IND)","2","8","67","33.5","54","1","1","5","45","0","0","15","19.2","1.3","0.0%"
"143","Devin Duvernay (CHI)","11","16","79","7.2","28","1","0","4","3","0","0","13","19.2","1.5","0.6%"
"144","K.J. Osborn (FA)","7","18","57","8.1","22","1","1","0","0","0","0","7","18.7","2.7","2.6%"
"145","Ryan Flournoy (DAL)","10","14","102","10.2","26","1","0","0","0","0","1","11","18.2","1.7","1.3%"
"146","Marquise Brown (KC)","9","15","91","10.1","20","1","0","0","0","0","0","2","18.1","9.1","29.2%"
"147","Ainias Smith (CAR)","7","9","41","5.9","15","0","1","2","6","0","0","7","17.7","2.5","1.0%"
"148","Simi Fehoko (ARI)","6","16","106","17.7","30","2","0","0","0","0","0","6","16.6","2.8","1.0%"
"149","Zay Jones (ARI)","8","11","84","10.5","25","1","0","0","0","0","0","11","16.4","1.5","0.6%"
"150","Bryce Oliver (TEN)","6","9","95","15.8","33","1","0","0","0","0","0","10","15.5","1.6","0.0%"
"151","Parris Campbell (FA)","6","8","30","5.0","7","0","1","0","0","0","0","4","15.0","3.8","0.0%"
"152","Johnny Wilson (PHI)","5","15","38","7.6","9","0","1","0","0","0","0","16","14.8","0.9","0.6%"
"153","Jalen Reagor (LAC)","7","12","100","14.3","41","2","0","3","-3","0","1","8","14.7","1.8","0.0%"
"154","Jermaine Burton (CIN)","4","14","107","26.8","47","2","0","0","0","0","0","14","14.7","1.1","1.0%"
"155","Odell Beckham Jr. (FA)","9","18","55","6.1","11","0","0","0","0","0","0","8","14.5","1.8","1.1%"
"156","Xavier Gipson (NYJ)","6","10","39","6.5","17","0","1","1","5","0","1","17","14.4","0.8","1.1%"
"157","DeAndre Carter (CLE)","9","14","72","8.0","14","0","0","0","0","0","1","13","14.2","1.1","0.0%"
"158","Jalin Hyatt (NYG)","8","19","62","7.8","19","0","0","0","0","0","0","16","14.2","0.9","1.0%"
"159","Brandon Powell (FA)","7","10","71","10.1","13","0","0","0","0","0","0","17","14.1","0.8","1.4%"
"160","Tyrell Shavers (BUF)","1","1","69","69.0","69","1","1","0","0","0","0","3","13.9","4.6","0.1%"
"161","Chris Conley (FA)","6","12","76","12.7","23","2","0","0","0","0","0","9","13.6","1.5","0.0%"
"162","River Cracraft (FA)","7","9","66","9.4","16","0","0","0","0","0","0","5","13.6","2.7","0.0%"
"163","Michael Woods II (FA)","7","17","65","9.3","16","0","0","0","0","0","0","5","13.5","2.7","0.0%"
"164","DJ Chark Jr. (FA)","4","10","31","7.8","12","0","1","0","0","0","0","4","13.1","3.3","1.3%"
"165","Tay Martin (FA)","1","2","49","49.0","49","1","1","0","0","0","0","1","11.9","11.9","0.0%"
"166","Scotty Miller (PIT)","5","9","69","13.8","21","2","0","0","0","0","0","13","11.9","0.9","0.1%"
"167","Ben Skowronek (PIT)","5","5","69","13.8","23","1","0","0","0","0","0","10","11.9","1.2","0.0%"
"168","Laviska Shenault Jr. (FA)","5","5","36","7.2","18","0","0","1","1","0","2","10","10.7","1.1","0.0%"
"169","Jacob Cowing (SF)","4","6","80","20.0","41","1","0","1","7","0","1","15","10.7","0.7","0.6%"
"170","Britain Covey (PHI)","7","8","34","4.9","11","0","0","0","0","0","0","5","10.4","2.1","0.0%"
"171","Kristian Wilkerson (BUF)","2","3","18","9.0","9","0","1","0","0","0","0","1","9.8","9.8","1.0%"
"172","Devontez Walker (BAL)","1","3","21","21.0","21","1","1","0","0","0","0","7","9.1","1.3","0.6%"
"173","Tyquan Thornton (KC)","4","8","47","11.8","17","0","0","0","0","0","0","4","8.7","2.2","0.6%"
"174","Treylon Burks (TEN)","4","8","34","8.5","13","0","0","2","1","0","0","5","7.5","1.5","0.6%"
"175","Dee Eskridge (MIA)","3","3","44","14.7","30","1","0","0","0","0","0","6","7.4","1.2","0.0%"
"176","Terrace Marshall Jr. (PHI)","3","6","41","13.7","28","1","0","0","0","0","0","5","7.1","1.4","1.0%"
"177","Tim Jones (MIN)","3","5","41","13.7","20","1","0","0","0","0","0","8","7.1","0.9","0.0%"
"178","Nikko Remigio (KC)","2","6","48","24.0","25","2","0","0","0","0","0","5","6.8","1.4","0.6%"
"179","Deven Thompkins (FA)","4","4","20","5.0","12","0","0","2","7","0","0","5","6.7","1.3","0.0%"
"180","Dan Chisena (FA)","3","4","37","12.3","23","1","0","0","0","0","0","6","6.7","1.1","0.0%"
"181","Cody White (SEA)","2","3","44","22.0","28","1","0","0","0","0","0","4","6.4","1.6","0.0%"
"182","Xavier Smith (LAR)","2","2","6","3.0","11","0","0","4","36","0","0","15","6.2","0.4","1.0%"
"183","Alex Bachman (LV)","3","3","31","10.3","18","0","0","0","0","0","0","5","6.1","1.2","0.0%"
"184","Allen Robinson II (FA)","3","7","30","10.0","21","1","0","0","0","0","0","6","6.0","1.0","1.4%"
