"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"249","Travis Hunter (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.5%"
"250","Dominic Lovett (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"251","Dorian Singer (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"252","Isaiah Neyor (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"253","Tory Horton (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"254","Matthew Golden (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87.3%"
"255","Andrew Armstrong (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"256","Joshua Cephus (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"257","John Rhys Plumlee (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"258","Tahj Washington (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"259","Ajou Ajou (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"260","Dayton Wade (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"261","Tejhaun Palmer (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"262","Elijhah Badger (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"263","Chase Cota (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"264","Roman Wilson (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"265","Brenden Rice (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"266","Tre' Harris (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.3%"
"267","Jayden Higgins (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65.9%"
"268","Chandler Brayboy (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"269","Dalen Cambre (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"270","Eli Pancol (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"271","Coleman Owen (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"272","Cam Camper (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"273","Quentin Skinner (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"274","Jakobie Keeney-James (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"275","Dontae Fleming (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"276","Ke'Shawn Williams (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"277","Tyler Kahmann (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"278","Landon Parker (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"279","Tru Edwards (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"280","Jordan Moore (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"281","Tommy Mellott (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"282","Junior Bergen (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"283","JP Richardson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"284","Hal Presley (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"285","Jamoi Mayes (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"286","Jaylen Jones (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"287","Stephen Gosnell (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"288","Jerjuan Newton (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"289","Courtney Jackson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"290","Bryson Green (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"291","Luke Grimm (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"292","Mac Dalena (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"293","Brennan Presley (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"294","Kyle Williams (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.4%"
"295","Key'Shawn Smith (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"296","Dalevon Campbell (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"297","Cade McDonald (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"298","Ife Adeyi (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"299","Jahmal Banks (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"300","Jeremiah Webb (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"301","Xavier Guillory (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"302","Tyrone Broden (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"303","Darius Lassiter (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"304","Myles Price (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"305","Jahdae Walker (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"306","Gage Larvadain (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"307","Ja'seem Reed (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"308","Taylor Morin (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"309","Darius Cooper (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"310","Kisean Johnson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"311","Jimmy Holiday (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"312","Jordan Watkins (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"313","Jaylin Noel (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"314","TJ Moore (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"315","Theo Wease Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"316","Savion Williams (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"317","Tez Johnson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"318","Tai Felton (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"319","Ricky White III (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"320","Pat Bryant (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8%"
"321","Antwane Wells Jr. (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"322","Jack Bech (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.8%"
"323","Will Sheppard (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"324","Nick Nash (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"325","Dont'e Thornton Jr. (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.5%"
"326","Jimmy Horn Jr. (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"327","Chimere Dike (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"328","Jaylin Lane (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"329","Traeshin Holden (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"330","Konata Mumpfield (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"331","Jacksin Meeks (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"332","Jamaal Pritchett (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"333","Isaac TeSlaa (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.7%"
"334","Garrett Greene (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"335","LaJohntay Wester (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"336","Efton Chism III (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"337","Jacoby Jones (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"338","A.T. Perry (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"339","Jalen Virgil (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"340","Montrell Washington (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"341","Dareke Young (SEA)","0","1","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"342","Mitchell Tinsley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"343","Isaiah Bond (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"344","KeAndre Lambert-Smith (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"345","Brandon Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"346","Avery Williams (PHI)","0","0","0","0","0","0","0","0","0","0","0","17","0.0","0.0","0.1%"
"347","Justin Shorter (LV)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"348","Skyy Moore (SF)","0","3","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.3%"
"349","Xavier Weaver (ARI)","0","2","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"350","Michael Bandy (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"351","Erik Ezukanma (MIA)","0","2","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"352","Lucky Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"353","Kazmeir Allen (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"354","Jared Wayne (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"355","Elijah Cooks (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"356","Thayer Thomas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"357","Kaden Prather (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"358","Tetairoa McMillan (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.4%"
"359","Jalen Cropper (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"360","Dylan Drummond (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"361","Shedrick Jackson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"362","Zavier Scott (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"363","Jason Brownlee (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"364","Tyreik McAllister (FA)","0","0","0","0","0","0","0","2","11","0","0","2","0.0","0.0","0.0%"
"365","Dennis Houston (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"366","Kaden Davis (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"367","Irvin Charles (NYJ)","0","1","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"368","Maurice Alexander (CHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"369","Bryce Ford-Wheaton (NYG)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"370","Malik Taylor (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"371","Jordan Matthews (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"372","Patrick Edwards (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"373","Kenny McKinley (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"374","Nate Hughes (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"375","Mike Furrey (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"376","Marko Mitchell (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"377","Maurice Purify (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"378","Chris Henry (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"379","Bobby Wade (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"380","Demario Ballard (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"381","Rod Harper (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"382","Sam Giguere (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"383","Deon Cain (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"384","Russell Gage Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"385","Braxton Berrios (HOU)","0","4","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.1%"
"386","Equanimeous St. Brown (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"387","Jamal Agnew (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"388","Zach Pascal (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"389","Justin Hardee Sr. (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"390","Cody Thompson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"391","David Sills (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"392","Hunter Renfrow (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"393","Miles Boykin (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"394","Juwann Winfree (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"395","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.1%"
"396","Keith Kirkwood (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"397","Malik Turner (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"398","Alex Erickson (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"399","Chris Moore (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"400","Laquon Treadwell (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"401","Velus Jones Jr. (NO)","1","1","8","8.0","8","0","0","3","11","0","1","2","-0.1","-0.1","0.0%"
"402","Jermaine Jackson (FA)","0","0","0","0","0","0","0","1","-1","0","0","4","-0.1","0.0","0.0%"
"403","Brycen Tremayne (CAR)","1","1","-2","-2.0","0","0","0","0","0","0","0","2","-0.2","-0.1","0.0%"
"404","Steven Sims Jr. (SEA)","0","0","0","0","0","0","0","1","0","0","1","9","-2.0","-0.2","0.0%"
"405","Kadarius Toney (FA)","0","1","0","0","0","0","0","2","-4","0","1","3","-2.4","-0.8","0.1%"
"406","Jha'Quan Jackson (FA)","1","3","8","8.0","8","0","0","1","-5","0","2","12","-3.7","-0.3","0.0%"
"407","Dee Williams (NYG)","0","0","0","0","0","0","0","0","0","0","3","13","-6.0","-0.5","0.0%"
